Papel;Segmento;Cotacao;FFO_Yield;Dividend_Yield;P_PER_VP;Valor_de_Mercado;Liquidez;Qtd_de_imoveis;Preco_do_m2;Aluguel_por_m2;Cap_Rate_PERC;Vacancia_Media
IDFI11;Híbrido;9,45;0,2125;1,2569;0,46;19.447.400;168.479;3;4.829,87;0;0;0
IDGR11;Híbrido;8,7;0,1602;1,1316;1,24;7.685.220;1.576;2;13.501,50;0;0;0
IRDM11;Títulos e Val. Mob.;73,07;0,1321;0,1191;0,84;2.662.220.000;4.329.420;0;0;0;0;0
IRIM11;Híbrido;74,51;0,1412;0,129;0,83;143.059.000;78.286;0;0;0;0;0
ISCJ11;Títulos e Val. Mob.;60,01;0,0423;0;0,43;18.841.300;3.537;0;0;0;0;0
ITIP11;Títulos e Val. Mob.;80,24;0,1675;0,0994;1,06;60.031.600;140.446;0;0;0;0;0
ITIT11;Títulos e Val. Mob.;74,5;0,1457;0,0945;0,88;67.086.800;155.575;0;0;0;0;0
ITRI11;Híbrido;93,9;0,0029;0,0215;0,95;586.875.000;1.629.800;0;0;0;0;0
JASC11;Híbrido;115,77;0,0415;0,0558;1,08;403.961.000;26;16;5.707,09;317,63;0,0557;0,0276
JCCJ11;Títulos e Val. Mob.;135;0,0162;0,0219;0,73;225.248.000;1.425.770;0;0;0;0;0
JFLL11;Residencial;74,12;0,1449;0,0952;0,71;111.224.000;70.634;2;7.522,67;1.292,78;0,1719;0,09
JGPX11;Híbrido;80,73;0,1052;0,1502;0,85;172.863.000;467.611;0;0;0;0;0
JPPA11;Híbrido;84,39;0,1619;0,1388;0,87;76.292.800;151.284;0;0;0;0;0
JPPC11;Híbrido;151,02;-0,0507;0;0,38;8.306.100;3;0;0;0;0;0
JSAF11;Títulos e Val. Mob.;94;0,0512;0,1173;0,96;322.514.000;2.203.760;0;0;0;0;0
JSRE11;Híbrido;63,65;0,0784;0,0843;0,58;1.321.840.000;2.431.830;6;11.244,00;1.039,91;0,0925;0,0841
KCRE11;Títulos e Val. Mob.;9,61;1,1729;0,1053;0,1;34.596.000;432.799;0;0;0;0;0
KEVE11;Residencial;1.100,01;0,0022;0,07;1,34;162.473.000;24.251;1;0;0;0;0
KFOF11;Títulos e Val. Mob.;91,6;0,0646;0,1001;0,96;642.534.000;1.925.600;0;0;0;0;0
KISU11;Títulos e Val. Mob.;8,27;0,1715;0,1022;0,94;365.501.000;724.920;0;0;0;0;0
KIVO11;Títulos e Val. Mob.;84,25;0,0955;0,1458;0,93;187.266.000;536.034;0;0;0;0;0
KNCA11;Títulos e Val. Mob.;101,51;0,1018;0,1203;0,99;2.192.610.000;3.550.870;0;0;0;0;0
KNCR11;Títulos e Val. Mob.;104,4;0,1371;0,1125;1,03;5.960.940.000;11.007.300;0;0;0;0;0
KNHF11;Híbrido;97,09;0,0516;0,0999;0,97;1.909.100.000;4.132.450;1;27.144,00;3,24;0,0001;0
KNHY11;Títulos e Val. Mob.;104,95;0,0747;0,1123;1,04;2.956.390.000;4.816.390;0;0;0;0;0
KNIP11;Títulos e Val. Mob.;94,39;0,1254;0,0938;0,99;7.558.580.000;9.028.350;0;0;0;0;0
KNRE11;Residencial;0,43;-0,2417;0;0,55;7.975.280;3.901;0;0;0;0;0
KNRI11;Híbrido;156,2;0,0576;0,0731;0,98;4.406.180.000;4.628.390;19;5.010,12;371,22;0,0741;0,0018
KNSC11;Títulos e Val. Mob.;9,1;0,0941;0,0992;1,02;1.208.100.000;4.143.520;0;0;0;0;0
KNUQ11;Títulos e Val. Mob.;104,8;0,0571;0,0868;1,04;931.557.000;2.082.530;0;0;0;0;0
KOPA11;Títulos e Val. Mob.;1.010,00;0,0384;0,0623;1,01;358.224.000;193.507;0;0;0;0;0
KORE11;Títulos e Val. Mob.;103,9;0,0436;0,0755;1,03;1.000.040.000;1.581.400;4;15.863,10;427,61;0,027;0,0165
LASC11;Shoppings;111;0,0344;0,0642;0,88;326.373.000;382.433;2;15.543,80;1.368,65;0,0881;0,0203
LFTT11;Residencial;22,5;-0,1827;0;0,69;73.462.500;9.296;128;5.966,79;0,8;0,0001;0
LGCP11;Logística;86,81;0,1205;0,0917;0,83;306.416.000;317.295;7;2.996,14;326,59;0,109;0
LIFE11;Outros;10,13;0,1316;0,1382;1;235.708.000;432.150;0;0;0;0;0
LSAG11;Títulos e Val. Mob.;80,07;0,2699;0,1743;0,82;80.817.400;125.536;0;0;0;0;0
LSPA11;Outros;70,79;0,3626;0,4172;0,9;28.634.600;12.434;0;0;0;0;0
LUGG11;Residencial;75;0,1362;0,084;0,61;84.803.000;85.845;5;3.234,25;586,42;0,1813;0,0438
LVBI11;Logística;108,42;0,0706;0,0929;0,93;1.747.570.000;4.439.060;9;2.437,26;250,9;0,1029;0,0393
MALL11;Shoppings;109,91;0,1651;0,0891;0,92;1.425.860.000;3.137.660;10;4.206,80;473,96;0,1127;0,0364
MANA11;Títulos e Val. Mob.;9,47;0,0703;0,1233;0,99;202.557.000;671.630;0;0;0;0;0
MAXR11;Híbrido;81;0,118;0,1044;0,62;91.178.100;156.212;8;1.419,05;172,56;0,1216;0,2323
MCCI11;Títulos e Val. Mob.;90,15;0,1056;0,1081;0,95;1.528.950.000;3.859.470;0;0;0;0;0
MCHY11;Títulos e Val. Mob.;9,55;0,0408;0,143;0,98;1.065.770.000;4.477.530;0;0;0;0;0
MFAI11;Híbrido;61,5;0,0998;0,0913;0,85;23.934.900;16.565;0;0;0;0;0
MFCR11;Híbrido;26,65;0,3365;0,1288;0,97;2.697.780;1.349;0;0;0;0;0
MFII11;Híbrido;100,98;0,0818;0,126;0,93;526.348.000;576.397;6;228,32;0;0;0
MGHT11;Híbrido;34,69;0,2058;0,172;0,4;45.575.200;137.284;1;4.404,23;956,52;0,2172;0
MINT11;Outros;95,47;0,1076;0,047;0,68;49.644.400;129.864;4;3.527,88;432,24;0,1225;0
MXRF11;Híbrido;10,16;0,0895;0,1166;1,04;3.400.100.000;10.693.200;0;0;0;0;0
NAVT11;Títulos e Val. Mob.;91,3;0,1174;0,143;1;55.901.300;165.665;0;0;0;0;0
NCHB11;Títulos e Val. Mob.;9,33;0,1332;0,1307;0,94;142.575.000;244.797;0;0;0;0;0
NCRA11;Títulos e Val. Mob.;8,5;0,1975;0,1535;0,81;37.909.600;119.742;0;0;0;0;0
NCRI11;Títulos e Val. Mob.;8,5;0,1265;0,1262;0,83;33.575.000;2.070;0;0;0;0;0
NEWL11;Híbrido;120,25;0,2178;0,0933;0,72;244.480.000;561.071;3;2.695,78;484,45;0,1797;0
NEWU11;Híbrido;73;0,0192;0,0293;1,02;54.166.000;12.260;3;3.863,54;432,43;0,1119;0,4702
NEXG11;Outros;109,2;0,0064;0,0424;1,14;20.375.100;65.597;0;0;0;0;0
NSLU11;Hospital;181,19;0,108;0,098;0,88;234.330.000;96.041;1;9.560,47;1.094,69;0,1145;0
NVHO11;Hospital;10,84;0,1457;0,0883;0,71;449.801.000;2.182;4;14.583,20;2.192,84;0,1504;0
OCRE11;Títulos e Val. Mob.;101;0,0744;0,1208;1,01;39.267.900;14.261;0;0;0;0;0
OIAG11;Híbrido;7,97;0,1603;0,1656;0,82;71.993.000;217.192;0;0;0;0;0
OUFF11;Títulos e Val. Mob.;60,6;0,1406;0,1254;0,84;109.949.000;285.125;0;0;0;0;0
