Papel;Segmento;Cotacao;FFO_Yield;Dividend_Yield;P_PER_VP;Valor_de_Mercado;Liquidez;Qtd_de_imoveis;Preco_do_m2;Aluguel_por_m2;Cap_Rate_PERC;Vacancia_Media
VTLT11;Logística;92,73;0,1186;0,1103;0,82;196.124.000;96.293;1;762,01;102,41;0,1344;0
VTPL11;Híbrido;72,1;-0,0063;0;1;99.948.000;184;2;1.174,16;0;0;0
VVCR11;Títulos e Val. Mob.;9,96;0,0477;0,1172;0,91;74.783.000;268.310;0;0;0;0;0
VVMR11;Híbrido;89,83;0,0702;0,0632;0,77;249.027.000;493.869;5;7.939,55;702,85;0,0885;0,0283
VVRI11;Híbrido;109,93;0,0706;0,1236;1,09;88.238.900;3.131;2;5.621,30;462,57;0,0823;0
VXXV11;Outros;673;-0,011;0,355;0,84;180.866.000;1.304.410;0;0;0;0;0
WHGR11;Híbrido;9,66;0,108;0,1172;0,99;258.045.000;539.616;0;0;0;0;0
WPLZ11;Shoppings;59,33;0,0861;0,0797;0,67;63.159.700;2.692;1;1.684,79;158,61;0,0941;0,1585
WSEC11;Títulos e Val. Mob.;88,47;0,1345;0,1247;0,87;21.732.700;14.256;0;0;0;0;0
WTSP11;Híbrido;42;0,0887;0,0928;0,52;41.687.700;1.201;1;3.399,92;293,35;0,0863;0,0435
XPCA11;Títulos e Val. Mob.;7,89;0,1584;0,1534;0,83;359.177.000;1.421.180;0;0;0;0;0
XPCI11;Títulos e Val. Mob.;86,5;0,1194;0,1271;0,96;752.684.000;2.152.560;0;0;0;0;0
XPCM11;Lajes Corporativas;8,41;-0,0353;0,0431;0,29;20.306.500;26.144;1;992,67;9,62;0,0097;0,81
XPIN11;Outros;76;0,0937;0,0945;0,74;543.432.000;425.630;97;1.977,69;202,14;0,1022;0,1221
XPLG11;Logística;101,5;0,0862;0,0808;0,91;3.005.740.000;5.509.150;19;2.298,66;219,61;0,0955;0,0411
XPML11;Shoppings;113,98;0,05;0,0882;1,03;6.305.400.000;16.649.700;15;6.218,47;448,85;0,0722;0,0023
XPPR11;Outros;17,4;0,049;0,057;0,27;127.301.000;215.756;5;1.720,42;356,09;0,207;0,4371
XPSF11;Títulos e Val. Mob.;7,63;0,1098;0,1106;0,9;330.395.000;574.651;0;0;0;0;0
YUFI11;Residencial;89,84;0,0384;0,0359;0,85;44.259.700;4;40;2.194,43;240,6;0,1096;0
ZAGH11;Híbrido;12;0,4106;0,0124;0,12;5.575.150;429;0;0;0;0;0
ZAVC11;Títulos e Val. Mob.;9,89;0,0016;0,0367;0,99;30.632.800;113.731;0;0;0;0;0
ZAVI11;Híbrido;107,97;0,1251;0,1345;0,81;126.684.000;397.600;11;1.604,34;185,28;0,1155;0,0063
ZIFI11;Híbrido;714,96;-0,0175;0;0,36;33.949.900;2.579;0;0;0;0;0
